,train,val,test
0,N001a001,N004a049,N004a092
1,N003a002,N004a086,N017a001
2,N004a001,N004a098,N004a081
3,N004a002,N004a110,N004a080
4,N004a004,N004a043,N004a135
5,N004a005,N006a002,N004a103
6,N004a006,N004a027,N004a040
7,N004a008,N004a078,N004a087
8,N004a011,N004a106,N006a004
9,N004a013,N004a115,N005a007
10,N004a014,N004a012,N004a039
11,N004a016,N007a004,N004a058
12,N004a017,N004a093,N004a064
13,N004a018,N004a007,N004a065
14,N004a020,N004a074,N005a009
15,N004a021,N003a003,N004a122
16,N004a022,N004a089,N005a015
17,N004a023,N004a010,N001a002
18,N004a024,N004a025,N003a001
19,N004a026,N004a015,N004a130
20,N004a028,N004a128,N006a010
21,N004a029,N004a109,N004a003
22,N004a030,N004a119,N004a019
23,N004a031,N004a085,N004a062
24,N004a032,N004a044,N004a009
25,N004a033,N005a022,N004a112
26,N004a034,N004a077,N004a067
27,N004a035,F009a03,F018a12
28,N004a036,F006a01,F033a22
29,N004a037,F010a01,F017a02
30,N004a038,F033a07,F006a09
31,N004a041,F012a03,F006a10
32,N004a042,F021a05,F007a10
33,N004a045,F021a04,F034a06
34,N004a046,F030a07,F030a11
35,N004a047,F030a12,F030a02
36,N004a048,F013a10,F006a03
37,N004a050,F034a09,F010a03
38,N004a051,F009a04,F018a10
39,N004a052,F006a06,F017a07
40,N004a053,F033a12,F018a13
41,N004a054,F030a13,F013a02
42,N004a055,F012a01,F033a05
43,N004a056,F017a04,F033a20
44,N004a057,F007a18,F030a14
45,N004a059,F007a09,F013a05
46,N004a060,F034a10,F018a11
47,N004a061,F007a21,F007a15
48,N004a063,,
49,N004a066,,
50,N004a068,,
51,N004a069,,
52,N004a070,,
53,N004a071,,
54,N004a072,,
55,N004a073,,
56,N004a075,,
57,N004a076,,
58,N004a079,,
59,N004a082,,
60,N004a083,,
61,N004a084,,
62,N004a088,,
63,N004a090,,
64,N004a091,,
65,N004a094,,
66,N004a095,,
67,N004a096,,
68,N004a097,,
69,N004a099,,
70,N004a100,,
71,N004a101,,
72,N004a102,,
73,N004a104,,
74,N004a105,,
75,N004a107,,
76,N004a108,,
77,N004a111,,
78,N004a113,,
79,N004a114,,
80,N004a116,,
81,N004a117,,
82,N004a118,,
83,N004a120,,
84,N004a121,,
85,N004a123,,
86,N004a124,,
87,N004a125,,
88,N004a126,,
89,N004a127,,
90,N004a129,,
91,N004a131,,
92,N004a132,,
93,N004a133,,
94,N004a134,,
95,N004a136,,
96,N004a137,,
97,N005a001,,
98,N005a002,,
99,N005a003,,
100,N005a004,,
101,N005a005,,
102,N005a006,,
103,N005a008,,
104,N005a010,,
105,N005a011,,
106,N005a012,,
107,N005a013,,
108,N005a014,,
109,N005a016,,
110,N005a017,,
111,N005a018,,
112,N005a019,,
113,N005a020,,
114,N005a021,,
115,N005a023,,
116,N006a001,,
117,N006a005,,
118,N006a006,,
119,N006a007,,
120,N006a008,,
121,N006a009,,
122,N007a001,,
123,N007a002,,
124,N007a003,,
125,N009a001,,
126,N009a002,,
127,N011a001,,
128,F005a02,,
129,F030a15,,
130,F030a17,,
131,F030a18,,
132,F033a01,,
133,F033a02,,
134,F033a03,,
135,F033a04,,
136,F007a01,,
137,F033a09,,
138,F033a10,,
139,F033a11,,
140,F033a13,,
141,F033a14,,
142,F033a15,,
143,F033a16,,
144,F007a02,,
145,F033a17,,
146,F033a18,,
147,F033a19,,
148,F033a21,,
149,F033a23,,
150,F033a24,,
151,F033a25,,
152,F033a26,,
153,F007a03,,
154,F033a27,,
155,F033a28,,
156,F033a29,,
157,F034a05,,
158,F034a07,,
159,F034a08,,
160,F034a11,,
161,F007a04,,
162,F007a05,,
163,F007a06,,
164,F007a07,,
165,F007a08,,
166,F006a02,,
167,F007a11,,
168,F007a12,,
169,F007a13,,
170,F007a16,,
171,F007a17,,
172,F007a19,,
173,F007a22,,
174,F009a01,,
175,F009a02,,
176,F010a02,,
177,F010a04,,
178,F010a05,,
179,F006a04,,
180,F011a01,,
181,F011a02,,
182,F012a02,,
183,F012a04,,
184,F012a06,,
185,F013a01,,
186,F013a03,,
187,F006a05,,
188,F013a04,,
189,F013a06,,
190,F013a07,,
191,F013a08,,
192,F013a09,,
193,F013a11,,
194,F013a12,,
195,F013a13,,
196,F013a15,,
197,F015a01,,
198,F017a01,,
199,F017a05,,
200,F017a06,,
201,F017a08,,
202,F017a09,,
203,F006a07,,
204,F017a10,,
205,F018a01,,
206,F018a02,,
207,F018a03,,
208,F018a04,,
209,F018a05,,
210,F018a06,,
211,F018a07,,
212,F018a08,,
213,F018a09,,
214,F006a08,,
215,F021a01,,
216,F021a02,,
217,F021a03,,
218,F030a01,,
219,F030a03,,
220,F030a04,,
221,F030a05,,
222,F030a06,,
223,F030a08,,
224,F030a09,,
225,F030a10,,
