,train,val,test
0,N001a001,N004a080,N004a128
1,N001a002,N004a007,N004a101
2,N003a001,N004a062,N004a059
3,N003a002,N004a112,N005a017
4,N004a002,N004a103,N006a004
5,N004a003,N004a001,N004a117
6,N004a004,N004a094,N004a122
7,N004a005,N004a075,N004a089
8,N004a008,N004a085,N004a111
9,N004a010,N007a003,N004a039
10,N004a011,N006a006,N005a002
11,N004a014,N004a067,N004a013
12,N004a015,N004a024,N004a130
13,N004a016,N004a086,N005a019
14,N004a017,N005a006,N005a010
15,N004a018,N004a006,N004a049
16,N004a019,N004a082,N004a105
17,N004a020,N004a077,N004a061
18,N004a021,N005a014,N004a029
19,N004a022,N004a060,N006a008
20,N004a023,N003a003,N004a030
21,N004a025,N005a008,N004a104
22,N004a026,N004a037,N004a098
23,N004a027,N004a012,N004a052
24,N004a028,N006a005,N004a064
25,N004a031,N004a124,N004a009
26,N004a032,N004a084,N004a097
27,N004a033,F015a01,F012a03
28,N004a034,F007a15,F006a05
29,N004a035,F018a06,F033a14
30,N004a036,F033a07,F030a15
31,N004a038,F033a25,F012a01
32,N004a040,F033a02,F007a13
33,N004a041,F033a17,F013a10
34,N004a042,F033a03,F010a02
35,N004a043,F006a01,F034a09
36,N004a044,F007a01,F030a11
37,N004a045,F006a04,F033a01
38,N004a046,F007a07,F033a10
39,N004a047,F033a20,F033a18
40,N004a048,F034a07,F007a10
41,N004a050,F018a07,F033a19
42,N004a051,F030a04,F033a04
43,N004a053,F011a02,F013a15
44,N004a054,F033a13,F018a01
45,N004a055,F017a01,F007a16
46,N004a056,F030a12,F021a05
47,N004a057,F013a13,F006a07
48,N004a058,,
49,N004a063,,
50,N004a065,,
51,N004a066,,
52,N004a068,,
53,N004a069,,
54,N004a070,,
55,N004a071,,
56,N004a072,,
57,N004a073,,
58,N004a074,,
59,N004a076,,
60,N004a078,,
61,N004a079,,
62,N004a081,,
63,N004a083,,
64,N004a087,,
65,N004a088,,
66,N004a090,,
67,N004a091,,
68,N004a092,,
69,N004a093,,
70,N004a095,,
71,N004a096,,
72,N004a099,,
73,N004a100,,
74,N004a102,,
75,N004a106,,
76,N004a107,,
77,N004a108,,
78,N004a109,,
79,N004a110,,
80,N004a113,,
81,N004a114,,
82,N004a115,,
83,N004a116,,
84,N004a118,,
85,N004a119,,
86,N004a120,,
87,N004a121,,
88,N004a123,,
89,N004a125,,
90,N004a126,,
91,N004a127,,
92,N004a129,,
93,N004a131,,
94,N004a132,,
95,N004a133,,
96,N004a134,,
97,N004a135,,
98,N004a136,,
99,N004a137,,
100,N005a001,,
101,N005a003,,
102,N005a004,,
103,N005a005,,
104,N005a007,,
105,N005a009,,
106,N005a011,,
107,N005a012,,
108,N005a013,,
109,N005a015,,
110,N005a016,,
111,N005a018,,
112,N005a020,,
113,N005a021,,
114,N005a022,,
115,N005a023,,
116,N006a001,,
117,N006a002,,
118,N006a007,,
119,N006a009,,
120,N006a010,,
121,N007a001,,
122,N007a002,,
123,N007a004,,
124,N009a001,,
125,N009a002,,
126,N011a001,,
127,N017a001,,
128,F005a02,,
129,F006a10,,
130,F030a13,,
131,F030a14,,
132,F030a17,,
133,F030a18,,
134,F033a05,,
135,F033a09,,
136,F033a11,,
137,F033a12,,
138,F033a15,,
139,F033a16,,
140,F007a02,,
141,F033a21,,
142,F033a22,,
143,F033a23,,
144,F033a24,,
145,F033a26,,
146,F007a03,,
147,F033a27,,
148,F033a28,,
149,F033a29,,
150,F034a05,,
151,F034a06,,
152,F034a08,,
153,F034a10,,
154,F034a11,,
155,F007a04,,
156,F007a05,,
157,F007a06,,
158,F007a08,,
159,F007a09,,
160,F006a02,,
161,F007a11,,
162,F007a12,,
163,F007a17,,
164,F007a18,,
165,F007a19,,
166,F007a21,,
167,F006a03,,
168,F007a22,,
169,F009a01,,
170,F009a02,,
171,F009a03,,
172,F009a04,,
173,F010a01,,
174,F010a03,,
175,F010a04,,
176,F010a05,,
177,F011a01,,
178,F012a02,,
179,F012a04,,
180,F012a06,,
181,F013a01,,
182,F013a02,,
183,F013a03,,
184,F013a04,,
185,F013a05,,
186,F013a06,,
187,F013a07,,
188,F013a08,,
189,F013a09,,
190,F013a11,,
191,F013a12,,
192,F006a06,,
193,F017a02,,
194,F017a04,,
195,F017a05,,
196,F017a06,,
197,F017a07,,
198,F017a08,,
199,F017a09,,
200,F017a10,,
201,F018a02,,
202,F018a03,,
203,F018a04,,
204,F018a05,,
205,F018a08,,
206,F018a09,,
207,F006a08,,
208,F018a10,,
209,F018a11,,
210,F018a12,,
211,F018a13,,
212,F021a01,,
213,F021a02,,
214,F021a03,,
215,F021a04,,
216,F030a01,,
217,F006a09,,
218,F030a02,,
219,F030a03,,
220,F030a05,,
221,F030a06,,
222,F030a07,,
223,F030a08,,
224,F030a09,,
225,F030a10,,
