,train,val,test
N001a001,True,False,False
N001a002,True,False,False
N003a001,True,False,False
N003a002,True,False,False
N003a003,True,False,False
N004a001,True,False,False
N004a003,True,False,False
N004a005,True,False,False
N004a006,True,False,False
N004a009,True,False,False
N004a010,True,False,False
N004a011,True,False,False
N004a012,True,False,False
N004a013,True,False,False
N004a015,True,False,False
N004a018,True,False,False
N004a019,True,False,False
N004a020,True,False,False
N004a021,True,False,False
N004a022,True,False,False
N004a023,True,False,False
N004a024,True,False,False
N004a025,True,False,False
N004a026,True,False,False
N004a027,True,False,False
N004a030,True,False,False
N004a031,True,False,False
N004a032,True,False,False
N004a033,True,False,False
N004a035,True,False,False
N004a036,True,False,False
N004a037,True,False,False
N004a038,True,False,False
N004a039,True,False,False
N004a041,True,False,False
N004a042,True,False,False
N004a043,True,False,False
N004a044,True,False,False
N004a045,True,False,False
N004a046,True,False,False
N004a047,True,False,False
N004a048,True,False,False
N004a049,True,False,False
N004a051,True,False,False
N004a052,True,False,False
N004a053,True,False,False
N004a054,True,False,False
N004a056,True,False,False
N004a057,True,False,False
N004a058,True,False,False
N004a060,True,False,False
N004a061,True,False,False
N004a063,True,False,False
N004a064,True,False,False
N004a067,True,False,False
N004a068,True,False,False
N004a070,True,False,False
N004a071,True,False,False
N004a072,True,False,False
N004a075,True,False,False
N004a076,True,False,False
N004a077,True,False,False
N004a078,True,False,False
N004a079,True,False,False
N004a080,True,False,False
N004a084,True,False,False
N004a085,True,False,False
N004a088,True,False,False
N004a089,True,False,False
N004a090,True,False,False
N004a092,True,False,False
N004a093,True,False,False
N004a094,True,False,False
N004a096,True,False,False
N004a098,True,False,False
N004a099,True,False,False
N004a101,True,False,False
N004a103,True,False,False
N004a106,True,False,False
N004a107,True,False,False
N004a109,True,False,False
N004a111,True,False,False
N004a112,True,False,False
N004a113,True,False,False
N004a114,True,False,False
N004a115,True,False,False
N004a117,True,False,False
N004a119,True,False,False
N004a120,True,False,False
N004a121,True,False,False
N004a123,True,False,False
N004a124,True,False,False
N004a125,True,False,False
N004a126,True,False,False
N004a129,True,False,False
N004a130,True,False,False
N004a133,True,False,False
N004a135,True,False,False
N004a137,True,False,False
N005a001,True,False,False
N005a002,True,False,False
N005a003,True,False,False
N005a004,True,False,False
N005a005,True,False,False
N005a006,True,False,False
N005a008,True,False,False
N005a009,True,False,False
N005a010,True,False,False
N005a011,True,False,False
N005a012,True,False,False
N005a013,True,False,False
N005a014,True,False,False
N005a015,True,False,False
N005a018,True,False,False
N005a020,True,False,False
N005a021,True,False,False
N006a002,True,False,False
N006a005,True,False,False
N006a006,True,False,False
N006a007,True,False,False
N006a008,True,False,False
N006a009,True,False,False
N006a010,True,False,False
N007a002,True,False,False
N007a003,True,False,False
N009a001,True,False,False
N011a001,True,False,False
N017a001,True,False,False
F005a02,True,False,False
F030a12,True,False,False
F030a13,True,False,False
F030a14,True,False,False
F030a15,True,False,False
F030a17,True,False,False
F033a01,True,False,False
F033a03,True,False,False
F033a04,True,False,False
F033a05,True,False,False
F033a07,True,False,False
F033a11,True,False,False
F033a12,True,False,False
F033a13,True,False,False
F033a14,True,False,False
F033a15,True,False,False
F033a16,True,False,False
F007a02,True,False,False
F033a19,True,False,False
F033a20,True,False,False
F033a21,True,False,False
F033a22,True,False,False
F033a23,True,False,False
F033a24,True,False,False
F033a26,True,False,False
F007a03,True,False,False
F033a27,True,False,False
F033a28,True,False,False
F033a29,True,False,False
F034a07,True,False,False
F034a09,True,False,False
F034a10,True,False,False
F007a06,True,False,False
F007a07,True,False,False
F006a02,True,False,False
F007a10,True,False,False
F007a11,True,False,False
F007a12,True,False,False
F007a15,True,False,False
F007a16,True,False,False
F007a17,True,False,False
F007a18,True,False,False
F006a03,True,False,False
F007a22,True,False,False
F009a01,True,False,False
F009a02,True,False,False
F009a03,True,False,False
F009a04,True,False,False
F010a01,True,False,False
F010a02,True,False,False
F010a03,True,False,False
F010a04,True,False,False
F010a05,True,False,False
F011a02,True,False,False
F012a02,True,False,False
F012a04,True,False,False
F012a06,True,False,False
F013a01,True,False,False
F013a02,True,False,False
F013a03,True,False,False
F006a05,True,False,False
F013a04,True,False,False
F013a07,True,False,False
F013a08,True,False,False
F013a09,True,False,False
F013a10,True,False,False
F006a06,True,False,False
F013a15,True,False,False
F015a01,True,False,False
F017a01,True,False,False
F017a04,True,False,False
F017a06,True,False,False
F017a08,True,False,False
F017a09,True,False,False
F017a10,True,False,False
F018a01,True,False,False
F018a03,True,False,False
F018a04,True,False,False
F018a06,True,False,False
F018a08,True,False,False
F006a08,True,False,False
F018a10,True,False,False
F018a11,True,False,False
F018a13,True,False,False
F021a01,True,False,False
F021a02,True,False,False
F021a03,True,False,False
F021a04,True,False,False
F021a05,True,False,False
F030a01,True,False,False
