,train,annot,val,test
0,N001a002,False,N004a016,N004a026
1,N003a001,False,N012a007,N004a064
2,N003a002,False,N012a014,N004a122
3,N004a001,False,N012a013,N009a004
4,N004a002,False,N004a019,N004a045
5,N004a004,False,N001a001,N004a036
6,N004a006,False,N004a074,N004a131
7,N004a007,False,N004a135,N004a091
8,N004a009,False,N004a090,N009a003
9,N004a010,True,N004a127,N004a073
10,N004a011,False,N004a005,N004a071
11,N004a014,False,N006a005,N011a005
12,N004a015,False,N006a002,N012a018
13,N004a017,False,N004a095,N005a023
14,N004a018,False,N004a047,N004a112
15,N004a020,False,N004a120,N004a025
16,N004a021,False,N004a013,N012a011
17,N004a022,False,N004a081,N004a033
18,N004a023,False,N004a063,N012a004
19,N004a024,False,N005a020,N004a043
20,N004a027,False,N005a011,N004a008
21,N004a028,False,N011a003,N004a062
22,N004a029,False,N004a050,N005a016
23,N004a030,False,N004a108,N004a069
24,N004a031,False,N004a039,N004a086
25,N004a032,True,N005a009,N012a020
26,N004a034,True,N003a003,N004a082
27,N004a035,False,N004a065,N004a094
28,N004a037,False,N004a130,N012a001
29,N004a038,False,N004a061,N004a133
30,N004a040,False,N004a012,N004a003
31,N004a041,False,N004a129,N004a107
32,N004a042,False,F007a05,F053a13
33,N004a044,False,F007a02,F013a05
34,N004a046,False,F056a17,F033a18
35,N004a048,False,F053a10,F053a16
36,N004a049,False,F018a05,F056a07
37,N004a051,False,F006a09,F030a02
38,N004a052,False,F058a02,F030a14
39,N004a053,False,F009a04,F018a04
40,N004a054,False,F033a07,F030a11
41,N004a055,False,F012a04,F056a16
42,N004a056,False,F012a03,F033a14
43,N004a057,True,F052a10,F007a04
44,N004a058,False,F056a02,F034a09
45,N004a059,False,F056a03,F007a18
46,N004a060,False,F052a04,F056a18
47,N004a066,False,F048a01,F011a02
48,N004a067,False,F006a01,F005a02
49,N004a068,True,F017a02,F011a01
50,N004a070,False,F017a07,F013a02
51,N004a072,True,F048a02,F013a01
52,N004a075,True,F018a06,F052a14
53,N004a076,False,F033a04,F012a02
54,N004a077,False,F056a09,F050a01
55,N004a078,False,F052a17,F013a11
56,N004a079,False,F018a09,F007a16
57,N004a080,False,F033a05,F052a05
58,N004a083,False,F021a01,F033a01
59,N004a084,False,F007a12,F053a06
60,N004a085,False,F012a06,F058a03
61,N004a087,False,F015a01,F007a08
62,N004a088,False,F033a02,F053a02
63,N004a089,False,,
64,N004a092,False,,
65,N004a093,False,,
66,N004a096,False,,
67,N004a097,False,,
68,N004a098,False,,
69,N004a099,False,,
70,N004a100,False,,
71,N004a101,False,,
72,N004a102,False,,
73,N004a103,False,,
74,N004a104,False,,
75,N004a105,False,,
76,N004a106,False,,
77,N004a109,False,,
78,N004a110,False,,
79,N004a111,False,,
80,N004a113,False,,
81,N004a114,False,,
82,N004a115,False,,
83,N004a116,False,,
84,N004a117,False,,
85,N004a118,False,,
86,N004a119,False,,
87,N004a121,False,,
88,N004a123,True,,
89,N004a124,False,,
90,N004a125,False,,
91,N004a126,False,,
92,N004a128,False,,
93,N004a132,False,,
94,N004a134,False,,
95,N004a136,False,,
