,train,annot,val,test
0,N001a001,False,N005a001,N005a006
1,N003a001,False,N004a054,N012a002
2,N003a002,False,N011a001,N004a034
3,N004a001,False,N004a088,N004a122
4,N004a003,False,N004a092,N004a062
5,N004a004,False,N004a098,N004a009
6,N004a005,True,N004a065,N004a018
7,N004a006,False,N004a096,N004a027
8,N004a007,False,N005a008,N006a009
9,N004a010,False,N004a083,N005a021
10,N004a011,False,N004a103,N004a019
11,N004a013,False,N004a080,N004a008
12,N004a014,False,N006a006,N005a018
13,N004a015,False,N004a012,N012a018
14,N004a016,False,N004a106,N004a089
15,N004a017,False,N006a007,N004a037
16,N004a020,False,N004a032,N006a010
17,N004a021,False,N009a003,N004a042
18,N004a022,False,N004a068,N004a133
19,N004a023,False,N004a112,N004a060
20,N004a024,False,N006a008,N004a048
21,N004a025,False,N004a002,N012a017
22,N004a026,False,N005a023,N004a111
23,N004a028,False,N004a094,N012a015
24,N004a029,False,N009a006,N004a097
25,N004a031,False,N004a107,N004a101
26,N004a033,False,N005a011,N005a016
27,N004a035,True,N004a043,N001a002
28,N004a036,False,N003a003,N005a007
29,N004a038,True,N004a058,N004a095
30,N004a039,False,N004a030,N004a127
31,N004a040,False,N005a020,N004a124
32,N004a041,False,F053a16,F033a07
33,N004a044,False,F056a02,F034a10
34,N004a045,False,F033a18,F030a10
35,N004a046,False,F007a01,F006a05
36,N004a047,False,F033a25,F030a08
37,N004a049,False,F033a05,F052a10
38,N004a050,False,F052a11,F011a02
39,N004a051,False,F012a04,F017a10
40,N004a052,False,F056a01,F058a01
41,N004a053,False,F053a02,F053a17
42,N004a055,False,F053a07,F013a15
43,N004a056,False,F034a07,F013a10
44,N004a057,False,F052a05,F052a20
45,N004a059,False,F033a12,F013a12
46,N004a061,False,F033a28,F056a18
47,N004a063,False,F017a06,F033a26
48,N004a064,True,F056a13,F015a01
49,N004a066,False,F017a08,F053a01
50,N004a067,False,F033a23,F013a02
51,N004a069,False,F034a11,F052a12
52,N004a070,False,F058a03,F033a13
53,N004a071,True,F017a07,F010a04
54,N004a072,False,F056a11,F009a03
55,N004a073,False,F052a15,F056a17
56,N004a074,False,F018a01,F018a10
57,N004a075,False,F009a01,F033a21
58,N004a076,False,F033a24,F012a06
59,N004a077,False,F018a12,F030a06
60,N004a078,False,F056a03,F034a09
61,N004a079,False,F056a05,F030a17
62,N004a081,False,F009a02,F053a04
63,N004a082,False,,
64,N004a084,True,,
65,N004a085,False,,
66,N004a086,True,,
67,N004a087,False,,
68,N004a090,False,,
69,N004a091,False,,
70,N004a093,False,,
71,N004a099,False,,
72,N004a100,False,,
73,N004a102,False,,
74,N004a104,False,,
75,N004a105,False,,
76,N004a108,False,,
77,N004a109,False,,
78,N004a110,False,,
79,N004a113,True,,
80,N004a114,False,,
81,N004a115,False,,
82,N004a116,True,,
83,N004a117,False,,
84,N004a118,False,,
85,N004a119,False,,
86,N004a120,False,,
87,N004a121,True,,
88,N004a123,False,,
89,N004a125,False,,
90,N004a126,False,,
91,N004a128,False,,
92,N004a129,False,,
93,N004a130,False,,
94,N004a131,False,,
95,N004a132,False,,
96,N004a134,False,,
97,N004a135,False,,
98,N004a136,True,,
99,N004a137,False,,
100,N005a002,False,,
101,N005a003,False,,
102,N005a004,False,,
103,N005a005,False,,
104,N005a009,False,,
105,N005a010,False,,
106,N005a012,False,,
107,N005a013,True,,
108,N005a014,False,,
109,N005a015,False,,
110,N005a017,False,,
111,N005a019,False,,
112,N005a022,False,,
113,N006a001,False,,
114,N006a002,False,,
115,N006a004,False,,
116,N006a005,False,,
117,N007a001,False,,
118,N007a002,False,,
119,N007a003,False,,
120,N007a004,False,,
121,N009a001,True,,
122,N009a002,False,,
123,N009a004,False,,
124,N009a005,False,,
125,N011a002,False,,
126,N011a003,False,,
127,N011a004,True,,
128,N011a005,False,,
129,N011a006,False,,
130,N011a007,True,,
131,N011a008,False,,
132,N011a009,False,,
133,N011a010,False,,
134,N012a001,False,,
135,N012a003,False,,
136,N012a004,False,,
137,N012a005,False,,
138,N012a006,False,,
139,N012a007,False,,
140,N012a008,False,,
141,N012a009,False,,
142,N012a010,False,,
143,N012a011,False,,
144,N012a012,False,,
