,train,val,test
N001a001,True,False,False
N001a002,True,False,False
N003a003,True,False,False
N004a001,True,False,False
N004a003,True,False,False
N004a004,True,False,False
N004a005,True,False,False
N004a006,True,False,False
N004a008,True,False,False
N004a009,True,False,False
N004a010,True,False,False
N004a012,True,False,False
N004a014,True,False,False
N004a015,True,False,False
N004a016,True,False,False
N004a017,True,False,False
N004a020,True,False,False
N004a022,True,False,False
N004a024,True,False,False
N004a025,True,False,False
N004a026,True,False,False
N004a028,True,False,False
N004a030,True,False,False
N004a031,True,False,False
N004a032,True,False,False
N004a033,True,False,False
N004a034,True,False,False
N004a035,True,False,False
N004a036,True,False,False
N004a038,True,False,False
N004a039,True,False,False
N004a040,True,False,False
N004a042,True,False,False
N004a046,True,False,False
N004a047,True,False,False
N004a048,True,False,False
N004a049,True,False,False
N004a050,True,False,False
N004a051,True,False,False
N004a052,True,False,False
N004a053,True,False,False
N004a054,True,False,False
N004a055,True,False,False
N004a056,True,False,False
N004a057,True,False,False
N004a059,True,False,False
N004a061,True,False,False
N004a065,True,False,False
N004a066,True,False,False
N004a067,True,False,False
N004a068,True,False,False
N004a069,True,False,False
N004a071,True,False,False
N004a073,True,False,False
N004a075,True,False,False
N004a076,True,False,False
N004a077,True,False,False
N004a079,True,False,False
N004a080,True,False,False
N004a081,True,False,False
N004a082,True,False,False
N004a083,True,False,False
N004a084,True,False,False
N004a086,True,False,False
N004a087,True,False,False
N004a088,True,False,False
N004a089,True,False,False
N004a090,True,False,False
N004a092,True,False,False
N004a094,True,False,False
N004a095,True,False,False
N004a096,True,False,False
N004a097,True,False,False
N004a100,True,False,False
N004a102,True,False,False
N004a103,True,False,False
N004a104,True,False,False
N004a105,True,False,False
N004a106,True,False,False
N004a108,True,False,False
N004a110,True,False,False
N004a111,True,False,False
N004a112,True,False,False
N004a113,True,False,False
N004a114,True,False,False
N004a116,True,False,False
N004a117,True,False,False
N004a118,True,False,False
N004a120,True,False,False
N004a121,True,False,False
N004a122,True,False,False
N004a124,True,False,False
N004a125,True,False,False
N004a127,True,False,False
N004a129,True,False,False
N004a131,True,False,False
N004a133,True,False,False
N004a134,True,False,False
N004a135,True,False,False
N004a136,True,False,False
N005a001,True,False,False
N005a002,True,False,False
N005a003,True,False,False
N005a004,True,False,False
N005a006,True,False,False
N005a008,True,False,False
N005a014,True,False,False
N005a015,True,False,False
N005a016,True,False,False
N005a017,True,False,False
N005a018,True,False,False
N005a019,True,False,False
N005a023,True,False,False
N006a001,True,False,False
N006a002,True,False,False
N006a004,True,False,False
N006a007,True,False,False
N006a008,True,False,False
N006a009,True,False,False
N006a010,True,False,False
N007a001,True,False,False
N007a002,True,False,False
N007a003,True,False,False
N007a004,True,False,False
N009a001,True,False,False
N009a002,True,False,False
N009a003,True,False,False
N009a005,True,False,False
N011a001,True,False,False
N011a004,True,False,False
N011a005,True,False,False
N011a006,True,False,False
N011a007,True,False,False
N011a008,True,False,False
N011a010,True,False,False
N012a001,True,False,False
N012a003,True,False,False
N012a006,True,False,False
N012a007,True,False,False
N012a008,True,False,False
N012a009,True,False,False
N012a011,True,False,False
N012a013,True,False,False
N012a014,True,False,False
N012a015,True,False,False
N012a016,True,False,False
N012a017,True,False,False
N012a018,True,False,False
N012a019,True,False,False
N012a020,True,False,False
N017a001,True,False,False
F005a02,True,False,False
F006a01,True,False,False
F006a10,True,False,False
F030a13,True,False,False
F030a14,True,False,False
F030a15,True,False,False
F030a17,True,False,False
F007a01,True,False,False
F033a05,True,False,False
F033a07,True,False,False
F033a09,True,False,False
F033a10,True,False,False
F033a11,True,False,False
F033a13,True,False,False
F033a16,True,False,False
F007a02,True,False,False
F033a17,True,False,False
F033a19,True,False,False
F033a20,True,False,False
F033a21,True,False,False
F033a24,True,False,False
F033a26,True,False,False
F007a03,True,False,False
F033a28,True,False,False
F034a05,True,False,False
F034a06,True,False,False
F034a07,True,False,False
F034a08,True,False,False
F034a10,True,False,False
F007a04,True,False,False
F048a02,True,False,False
F050a01,True,False,False
F050a03,True,False,False
F052a01,True,False,False
F052a02,True,False,False
F052a05,True,False,False
F007a05,True,False,False
F052a06,True,False,False
F052a07,True,False,False
F052a08,True,False,False
F052a09,True,False,False
F052a11,True,False,False
F052a12,True,False,False
F052a14,True,False,False
F007a06,True,False,False
F052a18,True,False,False
F052a19,True,False,False
F052a20,True,False,False
F053a01,True,False,False
F053a02,True,False,False
F053a03,True,False,False
F053a04,True,False,False
F053a05,True,False,False
F007a07,True,False,False
F053a06,True,False,False
F053a07,True,False,False
F053a08,True,False,False
F053a09,True,False,False
F053a10,True,False,False
F053a11,True,False,False
F053a12,True,False,False
F053a13,True,False,False
F053a14,True,False,False
F053a15,True,False,False
F007a08,True,False,False
F053a17,True,False,False
F053a18,True,False,False
