,train,val,test
0,N001a001,N005a001,N005a006
1,N003a001,N004a054,N012a002
2,N003a002,N011a001,N004a034
3,N004a001,N004a088,N004a122
4,N004a003,N004a092,N004a062
5,N004a004,N004a098,N004a009
6,N004a005,N004a065,N004a018
7,N004a006,N004a096,N004a027
8,N004a007,N005a008,N006a009
9,N004a010,N004a083,N005a021
10,N004a011,N004a103,N004a019
11,N004a013,N004a080,N004a008
12,N004a014,N006a006,N005a018
13,N004a015,N004a012,N012a018
14,N004a016,N004a106,N004a089
15,N004a017,N006a007,N004a037
16,N004a020,N004a032,N006a010
17,N004a021,N009a003,N004a042
18,N004a022,N004a068,N004a133
19,N004a023,N004a112,N004a060
20,N004a024,N006a008,N004a048
21,N004a025,N004a002,N012a017
22,N004a026,N005a023,N004a111
23,N004a028,N004a094,N012a015
24,N004a029,N009a006,N004a097
25,N004a031,N004a107,N004a101
26,N004a033,N005a011,N005a016
27,N004a035,N004a043,N001a002
28,N004a036,N003a003,N005a007
29,N004a038,N004a058,N004a095
30,N004a039,N004a030,N004a127
31,N004a040,N005a020,N004a124
32,N004a041,F053a16,F033a07
33,N004a044,F056a02,F034a10
34,N004a045,F033a18,F030a10
35,N004a046,F007a01,F006a05
36,N004a047,F033a25,F030a08
37,N004a049,F033a05,F052a10
38,N004a050,F052a11,F011a02
39,N004a051,F012a04,F017a10
40,N004a052,F056a01,F058a01
41,N004a053,F053a02,F053a17
42,N004a055,F053a07,F013a15
43,N004a056,F034a07,F013a10
44,N004a057,F052a05,F052a20
45,N004a059,F033a12,F013a12
46,N004a061,F033a28,F056a18
47,N004a063,F017a06,F033a26
48,N004a064,F056a13,F015a01
49,N004a066,F017a08,F053a01
50,N004a067,F033a23,F013a02
51,N004a069,F034a11,F052a12
52,N004a070,F058a03,F033a13
53,N004a071,F017a07,F010a04
54,N004a072,F056a11,F009a03
55,N004a073,F052a15,F056a17
56,N004a074,F018a01,F018a10
57,N004a075,F009a01,F033a21
58,N004a076,F033a24,F012a06
59,N004a077,F018a12,F030a06
60,N004a078,F056a03,F034a09
61,N004a079,F056a05,F030a17
62,N004a081,F009a02,F053a04
63,N004a082,,
64,N004a084,,
65,N004a085,,
66,N004a086,,
67,N004a087,,
68,N004a090,,
69,N004a091,,
70,N004a093,,
71,N004a099,,
72,N004a100,,
73,N004a102,,
74,N004a104,,
75,N004a105,,
76,N004a108,,
77,N004a109,,
78,N004a110,,
79,N004a113,,
80,N004a114,,
81,N004a115,,
82,N004a116,,
83,N004a117,,
84,N004a118,,
85,N004a119,,
86,N004a120,,
87,N004a121,,
88,N004a123,,
89,N004a125,,
90,N004a126,,
91,N004a128,,
92,N004a129,,
93,N004a130,,
94,N004a131,,
95,N004a132,,
96,N004a134,,
97,N004a135,,
98,N004a136,,
99,N004a137,,
100,N005a002,,
101,N005a003,,
102,N005a004,,
103,N005a005,,
104,N005a009,,
105,N005a010,,
106,N005a012,,
107,N005a013,,
108,N005a014,,
109,N005a015,,
110,N005a017,,
111,N005a019,,
112,N005a022,,
113,N006a001,,
114,N006a002,,
115,N006a004,,
116,N006a005,,
117,N007a001,,
118,N007a002,,
119,N007a003,,
120,N007a004,,
121,N009a001,,
122,N009a002,,
123,N009a004,,
124,N009a005,,
125,N011a002,,
126,N011a003,,
127,N011a004,,
128,N011a005,,
129,N011a006,,
130,N011a007,,
131,N011a008,,
132,N011a009,,
133,N011a010,,
134,N012a001,,
135,N012a003,,
136,N012a004,,
137,N012a005,,
138,N012a006,,
139,N012a007,,
140,N012a008,,
141,N012a009,,
142,N012a010,,
143,N012a011,,
144,N012a012,,
145,N012a013,,
146,N012a014,,
147,N012a016,,
148,N012a019,,
149,N012a020,,
150,N017a001,,
151,F005a02,,
152,F006a01,,
153,F006a10,,
154,F030a12,,
155,F030a13,,
156,F030a14,,
157,F030a15,,
158,F030a18,,
159,F033a01,,
160,F033a02,,
161,F033a03,,
162,F033a04,,
163,F033a09,,
164,F033a10,,
165,F033a11,,
166,F033a14,,
167,F033a15,,
168,F033a16,,
169,F007a02,,
170,F033a17,,
171,F033a19,,
172,F033a20,,
173,F033a22,,
174,F007a03,,
175,F033a27,,
176,F033a29,,
177,F034a05,,
178,F034a06,,
179,F034a08,,
180,F007a04,,
181,F048a01,,
182,F048a02,,
183,F050a01,,
184,F050a02,,
185,F050a03,,
186,F052a01,,
187,F052a02,,
188,F052a03,,
189,F052a04,,
190,F007a05,,
191,F052a06,,
192,F052a07,,
193,F052a08,,
194,F052a09,,
195,F052a13,,
196,F052a14,,
197,F007a06,,
198,F052a16,,
199,F052a17,,
200,F052a18,,
201,F052a19,,
202,F053a03,,
203,F053a05,,
204,F007a07,,
205,F053a06,,
206,F053a08,,
207,F053a09,,
208,F053a10,,
209,F053a11,,
210,F053a12,,
211,F053a13,,
212,F053a14,,
213,F053a15,,
214,F007a08,,
215,F053a18,,
216,F053a19,,
217,F056a04,,
218,F056a06,,
219,F007a09,,
220,F056a07,,
221,F056a08,,
222,F056a09,,
223,F056a10,,
224,F056a12,,
225,F056a14,,
226,F056a15,,
227,F056a16,,
228,F006a02,,
229,F007a10,,
230,F057a01,,
231,F058a02,,
232,F058a04,,
233,F058a05,,
234,F007a11,,
235,F007a12,,
236,F007a13,,
237,F007a15,,
238,F007a16,,
239,F007a17,,
240,F007a18,,
241,F007a19,,
242,F007a21,,
243,F006a03,,
244,F007a22,,
245,F009a04,,
246,F010a01,,
247,F010a02,,
248,F010a03,,
249,F010a05,,
250,F006a04,,
251,F011a01,,
252,F012a01,,
253,F012a02,,
254,F012a03,,
255,F013a01,,
256,F013a03,,
257,F013a04,,
258,F013a05,,
259,F013a06,,
260,F013a07,,
261,F013a08,,
262,F013a09,,
263,F013a11,,
264,F013a13,,
265,F006a06,,
266,F017a01,,
267,F017a02,,
268,F017a04,,
269,F017a05,,
270,F017a09,,
271,F006a07,,
272,F018a02,,
273,F018a03,,
274,F018a04,,
275,F018a05,,
276,F018a06,,
277,F018a07,,
278,F018a08,,
279,F018a09,,
280,F006a08,,
281,F018a11,,
282,F018a13,,
283,F021a01,,
284,F021a02,,
285,F021a03,,
286,F021a04,,
287,F021a05,,
288,F030a01,,
289,F006a09,,
290,F030a02,,
291,F030a03,,
292,F030a04,,
293,F030a05,,
294,F030a07,,
295,F030a09,,
296,F030a11,,
